"context","rank","gene","mir","r_global","spread","score","r_Basal","r_Her2","r_LumA","r_LumB","r_Normal"
"PAM50",1,"EN1","hsa-miR-577",0.620983302340956,0.67370746425029,0.418361085961897,0.41168316768097,-0.262024296569321,-0.0591113200490747,-0.236813099391841,NA
"PAM50",2,"RALGPS2","hsa-miR-577",-0.556930125619689,0.629177121685366,0.350407693417265,-0.402895196715469,0.226281924969897,0.113089736480683,0.0679496170963588,NA
"PAM50",3,"NFIB","hsa-miR-584-5p",0.384096461867978,0.830345763338049,0.31893286982521,-0.0877122453783475,-0.483373063566119,0.34697269977193,0.0463161322425241,NA
"PAM50",4,"TFF1","hsa-miR-378a-5p",-0.425259368588417,0.68845538657583,0.292772102996532,0.124723364718268,-0.510506313887196,-0.0159496557378811,0.177949072688634,NA
"PAM50",5,"INPP4B","hsa-miR-20a-5p",-0.481507475369184,0.579460837405788,0.279014724894574,-0.462476049633092,0.0700505064703576,0.116984787772696,-0.0103951610685282,NA
"PAM50",6,"CXXC5","hsa-miR-20a-5p",-0.450258865769306,0.601185190967761,0.270688962202448,-0.440141368682931,0.0570707939053326,0.138059489084109,0.16104382228483,NA
"PAM50",7,"EN1","hsa-miR-135b-5p",0.55052923655947,0.481241152050354,0.264937324039282,0.299649859909396,-0.167612361907722,-0.0911814805368512,-0.181591292140958,NA
"PAM50",8,"PRICKLE2","hsa-miR-455-3p",-0.322849875850113,0.803076397951456,0.259273115376783,-0.374143330157452,0.428933067794004,0.0417652596643467,0.168544581677501,NA
"PAM50",9,"NRIP1","hsa-miR-577",-0.425142339311637,0.587695506693904,0.249854242518784,-0.384600318286799,0.203095188407104,0.0317451438571383,0.157188621000255,NA
"PAM50",10,"IL12RB2","hsa-miR-934",0.638157470228941,0.391358685341169,0.249748468589445,0.330974008446897,-0.0588108062136169,-0.00470549410018472,-0.0603846768942726,NA
"PAM50",11,"CXXC5","hsa-miR-17-3p",-0.428743927144229,0.582149904667372,0.249593236313728,-0.320730450443339,-0.0417780321523292,0.161142401693057,0.261419454224033,NA
"PAM50",12,"OCA2","hsa-miR-455-3p",0.421382129699445,0.580591186680069,0.244650750727975,0.355667487320574,-0.0558275798547371,-0.224923699359495,-0.0944700743439942,NA
"PAM50",13,"RHCG","hsa-miR-577",0.460553221115473,0.530898441217586,0.244506987187943,-0.0532676090725432,0.402843050947406,0.0362166922035769,-0.128055390270181,NA
"PAM50",14,"PRTFDC1","hsa-miR-577",0.489240367727648,0.492265001170852,0.240835910192279,0.352281607083117,-0.139983394087735,0.0401141123624756,-0.109211367813008,NA
"PAM50",15,"PTCHD1","hsa-miR-577",0.484932701815385,0.48969495882034,0.237469099446122,0.017496629006193,-0.288150870416416,0.201544088403925,-0.0740505206612533,NA
"PAM50",16,"C9orf152","hsa-miR-577",-0.575666839934027,0.411497086358305,0.236885227345945,-0.338400731263293,0.0548990404444414,0.0730963550950127,-0.0111775395974309,NA
"PAM50",17,"TJP3","hsa-miR-934",-0.390010159354195,0.60442935930404,0.235733590740522,0.225788176712701,-0.378641182591339,-0.023535984063371,0.0737886938494375,NA
"PAM50",18,"GDF15","hsa-miR-934",-0.439319422726877,0.533544358111986,0.23439639940494,-0.350414453578721,0.183129904533265,0.0740197882211124,0.0811817740067014,NA
"PAM50",19,"DUSP5","hsa-miR-17-3p",-0.333571404093864,0.698084836806147,0.232861139190062,-0.388072339359742,0.310012497446405,0.073377408312435,0.221135293352667,NA
"PAM50",20,"AMY1A","hsa-miR-584-5p",0.384843582871819,0.601798195073903,0.231598173558035,-0.214777059190549,0.387021135883354,0.0436095933413002,-0.151174718586765,NA
"PAM50",21,"TGFB3","hsa-miR-455-5p",-0.325295379259749,0.704310487960265,0.229108947297654,-0.252375093466482,0.451935394493783,0.0577844226801248,0.121654362115699,NA
"PAM50",22,"AKR7A3","hsa-miR-577",-0.466784619420515,0.490459236008741,0.228938827821617,0.103999483305316,-0.334492820971683,-0.0153645892548101,0.155966415037058,NA
"PAM50",23,"CA12","hsa-miR-1468-5p",-0.355746434451431,0.641899152034701,0.228353334613742,-0.285526492925842,0.35637265910886,0.0618895306543497,-0.0437518751520706,NA
"PAM50",24,"FAM171A1","hsa-miR-455-3p",0.343000163672562,0.662372800855742,0.227193979105773,0.387105485067652,-0.27526731578809,-0.158632965720923,-0.114081730319804,NA
"PAM50",25,"GFRA3","hsa-miR-17-5p",0.491619527704234,0.461920527887999,0.227089151757188,0.344425668081222,-0.117494859806776,-0.0581803044050804,-0.06029993968269,NA
"PAM50",26,"GATA3","hsa-miR-20a-5p",-0.466907238072566,0.48632519035955,0.227068751435892,-0.242575847356484,0.243749343003065,0.0538941136594278,0.0685005023292655,NA
"PAM50",27,"ZNF385A","hsa-miR-452-5p",-0.265533261477703,0.852836388920339,0.226456427856885,0.348133783857045,-0.504702605063294,0.0681245656763773,-0.0325263423539992,NA
"PAM50",28,"DLX5","hsa-miR-577",0.44291100674378,0.510513567814726,0.226112078277179,0.163141107979249,-0.347372459835476,0.00808759198994339,-0.0614687072610836,NA
"PAM50",29,"DLX6","hsa-miR-135b-5p",0.534232795354956,0.422743059446914,0.225843206365231,0.275753808775059,-0.0847580486195832,0.0251672310703429,-0.146989250671855,NA
"PAM50",30,"LOC113230","hsa-miR-934",-0.443580012157399,0.508953437797769,0.225761572125884,0.0758098183305753,-0.433143619467194,0.0593947015296662,0.00374651161859383,NA
